,Titel,Namenszusatz,Nachname,Vornamen,Gebietsart,Gebietsnummer,Gebietsname,Name,id,name
0,,,Abdi,Sanae,Wahlkreis,93,Köln I,Sanae Abdi,200695422.0,Sanae Abdi
1,,,Ahmetovic,Adis,Wahlkreis,41,Stadt Hannover I,Adis Ahmetovic,,
2,,,Alabali-Radovan,Reem,Wahlkreis,12,Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,Reem Alabali-Radovan,1.2174567776436593e+18,Reem Alabali-Radovan
3,,,Altenkamp,Norbert,Wahlkreis,181,Main-Taunus,Norbert Altenkamp,1.3195705769571492e+18,Norbert Altenkamp
4,,,Arlt,Johannes,Wahlkreis,17,Mecklenburgische Seenplatte II – Landkreis Rostock III,Johannes Arlt,1.262451438103466e+18,Johannes Arlt
5,,,Auernhammer,Artur,Wahlkreis,241,Ansbach,Artur Auernhammer,,
6,,,Aumer,Peter,Wahlkreis,233,Regensburg,Peter Aumer,348460907,
7,,,Bachmann,Carolin,Wahlkreis,161,Mittelsachsen,Carolin Bachmann,,
8,,,Baldy,Daniel,Wahlkreis,205,Mainz,Daniel Baldy,3305672686.0,Daniel Baldy
9,,,Bareiß,Thomas,Wahlkreis,295,Zollernalb – Sigmaringen,Thomas Bareiß,2797812265,
10,,,Bartol,Sören,Wahlkreis,171,Marburg,Sören Bartol,57293969.0,Sören Bartol
11,,,Bas,Bärbel,Wahlkreis,115,Duisburg I,Bärbel Bas,19438957.0,Bärbel Bas
12,,,Bayram,Canan,Wahlkreis,83,Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost,Canan Bayram,587862375.0,Canan Bayram
13,Dr.,,Becker,Holger,Wahlkreis,191,Jena – Sömmerda – Weimarer Land I,Holger Becker,1420988224370061315,
14,,,Berghahn,Jürgen,Wahlkreis,135,Lippe I,Jürgen Berghahn,,
15,Dr.,,Berghegger,André,Wahlkreis,38,Osnabrück-Land,André Berghegger,,
16,,,Bergt,Bengt,Wahlkreis,8,Segeberg – Stormarn-Mitte,Bengt Bergt,1420988224370061315,
17,,,Beyer,Peter,Wahlkreis,105,Mettmann II,Peter Beyer,445375409.0,Peter Beyer
18,,,Biadacz,Marc,Wahlkreis,260,Böblingen,Marc Biadacz,9.358150000060539e+17,Marc Biadacz
19,,,Bilger,Steffen,Wahlkreis,265,Ludwigsburg,Steffen Bilger,23925041.0,Steffen Bilger
20,,,Blankenburg,Jakob,Wahlkreis,37,Lüchow-Dannenberg – Lüneburg,Jakob Blankenburg,88495338.0,Jakob Blankenburg
21,,,Bochmann,René,Wahlkreis,151,Nordsachsen,René Bochmann,,
22,,,Brand,Michael,Wahlkreis,174,Fulda,Michael Brand,,
23,Dr.,,Brandl,Reinhard,Wahlkreis,216,Ingolstadt,Reinhard Brandl,262730721.0,Reinhard Brandl
