,Nachname,Vornamen,Gebietsart,Gebietsnummer,Gebietsname,Gruppenname,Name,id,name
0,Abdi,Sanae,Wahlkreis,93,Köln I,SPD,Sanae Abdi,200695422.0,Sanae Abdi
1,Ahmetovic,Adis,Wahlkreis,41,Stadt Hannover I,SPD,Adis Ahmetovic,,
2,Alabali-Radovan,Reem,Wahlkreis,12,Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,SPD,Reem Alabali-Radovan,1.2174567776436593e+18,Reem Alabali-Radovan
3,Altenkamp,Norbert,Wahlkreis,181,Main-Taunus,CDU,Norbert Altenkamp,1.3195705769571492e+18,Norbert Altenkamp
4,Arlt,Johannes,Wahlkreis,17,Mecklenburgische Seenplatte II – Landkreis Rostock III,SPD,Johannes Arlt,1.262451438103466e+18,Johannes Arlt
5,Auernhammer,Artur,Wahlkreis,241,Ansbach,CSU,Artur Auernhammer,,
6,Aumer,Peter,Wahlkreis,233,Regensburg,CSU,Peter Aumer,,
7,Bachmann,Carolin,Wahlkreis,161,Mittelsachsen,AfD,Carolin Bachmann,,
8,Baldy,Daniel,Wahlkreis,205,Mainz,SPD,Daniel Baldy,3305672686.0,Daniel Baldy
9,Bareiß,Thomas,Wahlkreis,295,Zollernalb – Sigmaringen,CDU,Thomas Bareiß,,
10,Bartol,Sören,Wahlkreis,171,Marburg,SPD,Sören Bartol,57293969.0,Sören Bartol
11,Bas,Bärbel,Wahlkreis,115,Duisburg I,SPD,Bärbel Bas,19438957.0,Bärbel Bas
12,Bayram,Canan,Wahlkreis,83,Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost,GRÜNE,Canan Bayram,587862375.0,Canan Bayram
13,Becker,Holger,Wahlkreis,191,Jena – Sömmerda – Weimarer Land I,SPD,Holger Becker,,
14,Berghahn,Jürgen,Wahlkreis,135,Lippe I,SPD,Jürgen Berghahn,,
15,Berghegger,André,Wahlkreis,38,Osnabrück-Land,CDU,André Berghegger,,
16,Bergt,Bengt,Wahlkreis,8,Segeberg – Stormarn-Mitte,SPD,Bengt Bergt,,
17,Beyer,Peter,Wahlkreis,105,Mettmann II,CDU,Peter Beyer,445375409.0,Peter Beyer
18,Biadacz,Marc,Wahlkreis,260,Böblingen,CDU,Marc Biadacz,9.358150000060539e+17,Marc Biadacz
19,Bilger,Steffen,Wahlkreis,265,Ludwigsburg,CDU,Steffen Bilger,23925041.0,Steffen Bilger
20,Blankenburg,Jakob,Wahlkreis,37,Lüchow-Dannenberg – Lüneburg,SPD,Jakob Blankenburg,88495338.0,Jakob Blankenburg
21,Bochmann,René,Wahlkreis,151,Nordsachsen,AfD,René Bochmann,,
22,Brand,Michael,Wahlkreis,174,Fulda,CDU,Michael Brand,,
23,Brandl,Reinhard,Wahlkreis,216,Ingolstadt,CSU,Reinhard Brandl,262730721.0,Reinhard Brandl
24,Brandner,Stephan,Wahlkreis,194,Gera – Greiz – Altenburger Land,AfD,Stephan Brandner,7.133613668584817e+17,Stephan Brandner
25,Brantner,Franziska,Wahlkreis,274,Heidelberg,GRÜNE,Franziska Brantner,32323724.0,Franziska Brantner
26,Breher,Silvia,Wahlkreis,32,Cloppenburg – Vechta,CDU,Silvia Breher,1.3370568105665536e+18,Silvia Breher
27,Brehm,Sebastian,Wahlkreis,244,Nürnberg-Nord,CSU,Sebastian Brehm,9.04304932257493e+17,Sebastian Brehm
28,Brehmer,Heike,Wahlkreis,68,Harz,CDU,Heike Brehmer,150372237.0,Heike Brehmer
